HGNC.symbol	MGI.symbol
1	MFSD2B	Mfsd2b
2	SELENOP	Selenop
3	IDI1	Idi1
4	KLF6	Klf6
5	PTGER4	Ptger4
6	POLD4	Gm45928
7	POLD4	Pold4
8	CREBBP	Crebbp
9	GRK2	Grk2
10	ROCK1	Rock1
11	SLC1A3	Slc1a3
12	EPC1	Epc1
13	MAP3K8	Map3k8
14	OSR2	Osr2
15	PAG1	Pag1
16	PDGFD	Pdgfd
17	MAP3K4	Map3k4
18	CFAP70	Cfap70
19	ELP2	Elp2
20	SAMD9L	Samd9l
21	MYEF2	Gm9833
22	EZR	Ezr
23	MAP3K11	Map3k11
24	TAB2	Tab2
25	ARAF	Araf
26	MPLKIP	Mplkip
27	YWHAQ	Ywhaq
28	RPA3	Rpa3
29	PNLDC1	Pnldc1
30	LYN	Lyn
31	WAS	Was
32	MAP3K2	Map3k2
33	ARHGEF7	Arhgef7
34	GRTP1	Grtp1
35	TNFSF13B	Tnfsf13b
36	BFAR	Bfar
37	MAP2K7	Map2k7
38	MAP2K7	Gm49320
39	MOS	Mos
40	PSMA2	Psma2
41	PDZD2	Pdzd2
42	C11orf68	AI837181
43	KAT5	Kat5
44	CEBPD	Cebpd
45	H1-4	H1f4
46	PROZ	Proz
47	CASP1	Casp1
48	RSAD2	Rsad2
49	TIGD3	Tigd3
50	RGS20	Rgs20
51	ZC3H12D	Zc3h12d
52	RALA	Rala
53	UBA1	Uba1
54	ELK1	Elk1
55	ZDHHC24	Zdhhc24
56	RPS6KA2	Rps6ka2
57	APC	Apc
58	SLC22A1	Slc22a1
59	ROCK2	Rock2
60	GRHL1	Grhl1
61	CMPK2	Cmpk2
62	NDUFA1	Ndufa1
63	NDUFA3	Ndufa3
64	MET	Met
65	FAM71F1	Fam71f1
66	GATA3	Gata3
67	RSPH4A	Rsph4a
68	YWHAZ	Ywhaz
69	DLD	Dld
70	CCN2	Ccn2
71	ITGA8	Itga8
72	LRRN3	Lrrn3
73	OGDH	Ogdh
74	BAG4	Bag4
75	ZNHIT2	Znhit2
76	SH3RF2	Sh3rf2
77	RNF144B	Rnf144b
78	ZNF121	Zfp560
79	TYK2	Tyk2
80	ATP6V1FNB	Atp6v1fnb
81	SPC24	Spc24
82	ANKRD6	Ankrd6
83	NFKBIA	Nfkbia
84	FAM71F2	Fam71f2
85	RASGRP2	Rasgrp2
86	MTFR1	Mtfr1
87	DDX58	Ddx58
88	CAMK2G	Camk2g
