Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
MS4A1	Ms4a1	Protein Coding	B cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
CD14	Cd14	Protein Coding	CD14+ Monocyte	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
LYZ	Lyz2	Protein Coding	CD14+ Monocyte	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
CD8A	Cd8a	Protein Coding	CD8+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
CST3	Cst3	Protein Coding	Dendritic cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
FCER1A	Fcer1a	Protein Coding	Dendritic cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
FCGR3A	Fcgr4	Protein Coding	FCGR3A+ Monocyte	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
MS4A7	Ms4a7	Protein Coding	FCGR3A+ Monocyte	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
IL7R	Il7r	Protein Coding	Memory CD4+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
								
								
S100A4	S100a4	Protein Coding	Memory CD4+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
CCR7	Ccr7	Protein Coding	Naive CD4+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
IL7R	Il7r	Protein Coding	Naive CD4+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
GNLY	NA	Protein Coding	Natural killer	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
NKG7	Nkg7	Protein Coding	Natural killer	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
PPBP	Ppbp	Protein Coding	Platelet	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
ADIPOQ	Adipoq	Protein Coding	Adipocyte	Heart	NA	Christoph Kuppe	2020-02-10	
APOE	Apoe	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
								
								
CD38	Cd38	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CIDEA	Cidea	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
DLK1	Dlk1	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
FASN	Fasn	Protein Coding	Adipocyte	Heart	NA	Christoph Kuppe	2020-02-10	
LDLR	Ldlr	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
P2RX5	P2rx5	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
PLIN1	Plin1	Protein Coding	Adipocyte	Heart	NA	Christoph Kuppe	2020-02-10	
PPARG	Pparg	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
SLC36A2	Slc36a2	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
								
SLC7A10	Slc7a10	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TBX1	Tbx1	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TMEM26	Tmem26	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TNFRSF9	Tnfrsf9	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TUSC5	Tusc5	Protein Coding	Adipocyte	Heart	NA	Christoph Kuppe	2020-02-10	
UCP1	Ucp1	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ACTA1	Acta1	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ACTC1	Actc1	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ACTN2	Actn2	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ATP2A2	Atp2a2	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CAMK2B	Camk2b	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
GJA1	Gja1	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
HCN4	Hcn4	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MYH6	Myh6	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MYLK3	Mylk3	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
MYOM3	Myom3	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
NPPA	Nppa	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
RYR2	Ryr2	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Christoph Kuppe	2020-02-10	
SCN5A	Scn5a	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TBX5	Tbx5	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
TNNC1	Tnnc1	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TNNT1	Tnnt1	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
TNNT2	Tnnt2	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
CD34	Cd34	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ISL1	Isl1	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
KDR	Kdr	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
KIT	Kit	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
LBH	Lbh	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
PDGFRA	Pdgfra	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TBXT	Tbxt	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CDH5	Cdh5	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
EDNRB	Ednrb	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
EGFL7	Egfl7	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Christoph Kuppe	2020-02-10	
EMCN	Emcn	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Christoph Kuppe	2020-02-10	
EPAS1	Epas1	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ERG	Erg	Protein Coding	Endothelial	Heart	NA	Christoph Kuppe	2020-02-10	
FABP4	Fabp4	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
FLT1	Flt1	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
