Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
COBL	NA	Protein Coding	Adipocyte (white)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human white adipocyte subtype marker (Table 2)
CKMT2	NA	Protein Coding	Adipocyte (white)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human white adipocyte subtype marker (Table 2); creatine kinase mitochondrial 2
NA	Retn	Protein Coding	Adipocyte (white)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse white adipocyte marker (Table 3); Resistin; expressed in mouse adipocytes but in human monocytes/macrophages
UCP1	Ucp1	Protein Coding	Adipocyte (brown/beige)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus thermogenic adipocyte marker; uncoupling protein 1; Table 2 & 3
PPARGC1A	Ppargc1a	Protein Coding	Adipocyte (brown/beige)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus thermogenic marker; PGC-1alpha; master regulator of mitochondrial biogenesis; Table 2 & 3
CIDEA	Cidea	Protein Coding	Adipocyte (brown/beige)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus brown/beige adipocyte marker; CIDE domain protein; Table 2 & 3
ATP5K	Atp5k	Protein Coding	Adipocyte (brown/beige)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus thermogenic adipocyte marker; ATP synthase subunit; mitochondrial marker; Table 2 & 3
COX7A1	Cox7a1	Protein Coding	Adipocyte (brown/beige)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus thermogenic adipocyte marker; cytochrome c oxidase subunit 7A1; Table 2 & 3
NA	Adrb3	Protein Coding	Adipocyte (brown/beige)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse brown/beige adipocyte marker (Table 3); beta-3 adrenergic receptor; thermogenic stimulus receptor
NA	Clstn3	Protein Coding	Adipocyte (brown/beige)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse brown/beige adipocyte marker (Table 3); Calsyntenin-3; required for sympathetic innervation of BAT
DPP4	Dpp4	Protein Coding	Adipocyte progenitor cells (early)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus early ASPC/stem cell marker; CD26; Table 2 & 3; also expressed on cDC1 (Table 2)
CD55	Cd55	Protein Coding	Adipocyte progenitor cells (early)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus early ASPC marker; DAF (decay-accelerating factor); Table 2 & 3
